"MatchNo","Team","Bowling","Overs","Maidens","Runs","Wickets","Econ","Dots","fours","Sixes","Wides","NoBalls"
"","","XC Bartlett","4","0","36","0","9","9","5","1","1","0"
"","","M Jansen","4","0","20","1","5","8","1","0","0","0"
"","","V Vyshak","4","0","34","3","8.5","8","2","1","1","0"
"","","YS Chahal","4","0","28","2","7","9","2","1","1","0"
"","","Mohammed Siraj","2","0","15","0","7.5","6","1","1","0","0"
"","","K Rabada","3","0","34","1","11.33","7","1","4","0","0"
"","","Ashok Sharma","3","0","31","1","10.33","8","1","3","2","0"
"","","Rashid Khan","4","0","29","1","7.25","10","1","2","0","0"
"","","Washington Sundar","3.1","0","27","1","8.52","6","1","2","0","0"
"","","M Prasidh Krishna","4","0","29","3","7.25","11","1","2","2","0"
"","","Mukesh Kumar","3","0","17","0","5.66","11","1","1","2","0"
"","","L Ngidi","3.4","0","27","3","7.36","9","3","1","0","0"
"","","AR Patel","3","0","17","1","5.66","9","1","1","0","0"
"","","T Natarajan","4","0","29","3","7.25","8","2","1","0","0"
"","","Kuldeep Yadav","4","0","31","2","7.75","8","3","1","0","0"
"","","V Nigam","1","0","8","0","8","2","1","0","0","0"
"","","Mohammed Shami","4","0","28","1","7","12","2","1","4","0"
"","","Prince Yadav","3","0","20","2","6.66","10","2","0","4","0"
"","","Mohsin Khan","4","1","19","1","4.75","15","1","1","1","0"
"","","A Nortje","4","0","39","0","9.75","7","1","2","3","0"
"","","Shahbaz Ahmed","1","0","16","0","16","0","3","0","0","0"
"","","AK Markram","1","0","13","0","13","2","1","1","0","0"
"","","Abdul Samad","0.1","0","6","0","36","0","0","1","0","0"
"","","VG Arora","4","0","47","2","11.75","9","5","3","2","0"
"","","B Muzarabani","4","0","41","4","10.25","7","5","1","2","0"
"","","SP Narine","4","0","39","0","9.75","6","4","1","0","0"
"","","CV Varun","2","0","31","0","15.5","1","3","2","1","0"
"","","Kartik Tyagi","4","0","48","1","12","6","6","2","2","0"
"","","AS Roy","2","0","16","1","8","4","1","0","2","0"
"","","DA Payne","2","0","35","0","17.5","0","4","2","0","0"
"","","HS Dubey","2","0","17","1","8.5","3","2","0","1","0"
"","","Abhishek Sharma","1","0","15","0","15","1","0","2","0","0"
"","","JD Unadkat","3","0","21","3","7","7","3","0","0","0"
"","","E Malinga","2","0","14","2","7","6","1","0","5","0"
"","","Shivang Kumar","4","0","41","0","10.25","8","6","1","0","0"
"","","K Nitish Kumar Reddy","2","0","17","2","8.5","5","0","2","0","0"
"","","Arshdeep Singh","4","0","41","0","10.25","9","7","0","3","0"
"","","XC Bartlett","4","0","48","1","12","7","7","1","2","0"
"","","M Jansen","4","0","43","1","10.75","11","2","3","2","0"
"","","V Vyshak","4","0","38","2","9.5","8","5","1","0","0"
"","","YS Chahal","3","0","21","1","7","4","0","0","2","1"
"","","MP Stoinis","1","0","17","0","17","1","0","2","1","0"
"","","KK Ahmed","3","0","28","0","9.33","9","2","2","3","0"
"","","MJ Henry","4","0","54","2","13.5","6","6","3","0","0"
"","","A Kamboj","3.4","0","43","2","11.72","9","9","0","1","1"
"","","Noor Ahmad","4","0","38","0","9.5","6","3","1","1","1"
"","","RD Chahar","4","0","46","0","11.5","4","3","3","1","0"
"","","Mukesh Kumar","3","0","26","2","8.66","10","5","0","1","0"
"","","L Ngidi","4","0","34","1","8.5","8","5","0","1","0"
"","","AR Patel","4","0","22","1","5.5","8","0","1","1","0"
"","","V Nigam","3","0","24","1","8","7","2","1","1","0"
"","","Kuldeep Yadav","3","0","31","0","10.33","4","2","2","0","0"
"","","T Natarajan","3","0","24","1","8","4","3","0","0","0"
"","","DL Chahar","3","0","20","1","6.66","10","2","1","0","0"
"","","JJ Bumrah","4","0","21","0","5.25","13","3","0","1","0"
"","","MJ Santner","3","0","22","1","7.33","8","4","0","0","0"
"","","SN Thakur","3","0","41","0","13.66","3","5","2","1","0"
"","","M Markande","2","0","20","0","10","3","0","2","1","0"
"","","C Bosch","3.1","0","39","1","12.31","6","3","3","1","0"
"","","Mohammed Siraj","4","0","48","1","12","11","8","2","1","0"
"","","K Rabada","4","0","42","2","10.5","11","3","3","3","0"
"","","Ashok Sharma","4","0","37","1","9.25","10","3","2","2","0"
"","","M Prasidh Krishna","4","0","43","1","10.75","9","2","4","1","0"
"","","Rashid Khan","4","0","39","1","9.75","4","2","1","2","0"
"","","JC Archer","4","0","38","0","9.5","10","3","2","1","0"
"","","N Burger","3","0","29","1","9.66","7","4","1","1","0"
"","","Sandeep Sharma","3","0","34","0","11.33","4","4","1","0","0"
"","","TU Deshpande","3","0","24","1","8","7","4","0","1","0"
"","","RA Jadeja","2","0","25","0","12.5","1","2","1","0","0"
"","","R Parag","1","0","11","1","11","3","1","1","0","0"
"","","Ravi Bishnoi","4","0","41","4","10.25","9","6","1","0","1"
"","","Mohammed Shami","4","0","9","2","2.25","18","0","0","1","0"
"","","DS Rathi","4","0","46","1","11.5","5","3","3","1","0"
"","","Prince Yadav","4","0","34","2","8.5","11","2","3","0","0"
"","","M Siddharth","4","0","29","1","7.25","10","2","1","1","0"
"","","Avesh Khan","4","0","36","2","9","7","4","1","0","0"
"","","HS Dubey","4","0","18","2","4.5","12","2","0","0","0"
"","","K Nitish Kumar Reddy","1","0","14","0","14","1","3","0","0","0"
"","","JD Unadkat","3.5","0","50","0","13.04","6","7","2","0","0"
"","","E Malinga","4","0","30","1","7.5","9","4","0","0","0"
"","","HV Patel","3","0","16","0","5.33","6","1","0","0","0"
"","","Shivang Kumar","4","0","30","1","7.5","5","3","0","0","0"
"","","KK Ahmed","4","0","37","0","9.25","9","2","2","1","0"
"","","MJ Henry","3","0","36","0","12","2","2","2","0","0"
"","","A Kamboj","4","0","52","1","13","6","5","3","1","1"
"","","Noor Ahmad","4","0","49","0","12.25","6","0","6","0","0"
"","","J Overton","3","0","42","1","14","5","2","4","0","0"
"","","S Dube","2","0","30","1","15","2","3","2","1","0"
"","","JA Duffy","4","0","58","2","14.5","7","4","5","2","1"
"","","B Kumar","4","0","41","3","10.25","11","5","2","1","1"
"","","Abhinandan Singh","3.4","0","30","2","8.18","6","4","0","0","0"
"","","KH Pandya","3","0","36","2","12","7","5","2","0","0"
"","","Suyash Sharma","4","0","21","1","5.25","9","2","0","0","0"
"","","R Shepherd","1","0","19","0","19","0","1","2","0","0"
"","","Arshdeep Singh","2","0","16","0","8","2","2","0","0","0"
"","","XC Bartlett","1.4","0","9","2","5.4","8","1","0","0","0"
"","","DL Chahar","1","0","22","0","22","1","4","1","0","0"
"","","JJ Bumrah","3","0","32","0","10.66","5","1","3","1","0"
"","","TA Boult","1","0","22","0","22","0","0","3","1","0"
"","","HH Pandya","2","0","17","0","8.5","3","1","1","0","0"
"","","SN Thakur","2","0","36","1","18","2","4","2","3","0"
"","","AM Ghazanfar","2","0","21","2","10.5","4","2","1","1","0"
"","","JC Archer","2","0","17","1","8.5","3","1","1","0","0"
"","","N Burger","2","0","21","2","10.5","6","2","1","1","0"
"","","Sandeep Sharma","3","0","26","2","8.66","9","2","1","3","0"
"","","TU Deshpande","2","0","29","1","14.5","3","3","2","1","0"
"","","Ravi Bishnoi","2","0","25","2","12.5","2","4","0","1","0"
"","","Mukesh Kumar","4","0","55","2","13.75","8","4","5","2","0"
"","","L Ngidi","4","0","24","1","6","11","3","0","2","0"
"","","AR Patel","3","0","32","0","10.66","2","3","1","1","0"
"","","Kuldeep Yadav","4","0","42","1","10.5","5","1","4","0","0"
"","","T Natarajan","4","0","34","0","8.5","4","3","1","0","0"
"","","V Nigam","1","0","23","0","23","1","2","2","0","1"
"","","Mohammed Siraj","4","0","52","1","13","8","7","2","4","0"
"","","K Rabada","4","0","32","0","8","9","3","1","2","0"
"","","Rashid Khan","4","0","17","3","4.25","10","1","0","0","0"
"","","Ashok Sharma","3","0","45","0","15","2","6","1","2","0"
"","","M Prasidh Krishna","4","0","52","2","13","7","6","3","0","0"
"","","Washington Sundar","1","0","11","0","11","1","0","1","0","0"
"","","Mohammed Shami","4","0","27","0","6.75","9","2","1","1","0"
"","","Prince Yadav","4","0","47","1","11.75","6","7","1","3","0"
"","","M Siddharth","4","0","34","1","8.5","9","2","2","1","0"
"","","DS Rathi","4","0","25","1","6.25","9","3","0","0","0"
"","","Avesh Khan","4","0","44","1","11","10","4","3","1","0"
"","","VG Arora","4","0","38","2","9.5","12","2","4","0","0"
"","","AS Roy","4","0","32","2","8","9","1","2","4","0"
"","","NA Saini","3","0","37","0","12.33","6","5","1","1","0"
"","","SP Narine","4","0","13","1","3.25","14","1","0","0","0"
"","","Kartik Tyagi","3","0","31","1","10.33","6","3","2","0","0"
"","","C Green","2","0","28","1","14","4","1","3","1","1"
"","","JC Archer","3","0","33","2","11","6","7","0","0","0"
"","","N Burger","3","0","32","0","10.66","7","2","2","1","0"
"","","Sandeep Sharma","4","0","47","1","11.75","7","5","2","2","0"
"","","Ravi Bishnoi","4","0","32","2","8","8","0","3","0","0"
"","","RA Jadeja","2","0","14","1","7","2","1","0","0","0"
"","","Brijesh Sharma","4","0","37","2","9.25","4","5","0","0","0"
"","","B Kumar","4","0","37","0","9.25","9","3","2","0","0"
"","","JR Hazlewood","4","0","44","2","11","8","4","3","0","0"
"","","Abhinandan Singh","3","0","54","0","18","2","7","3","2","0"
"","","KH Pandya","4","0","30","2","7.5","7","2","1","0","0"
"","","TH David","1","0","18","0","18","1","1","2","0","0"
"","","R Shepherd","2","0","18","0","9","0","0","1","0","0"
"","","Arshdeep Singh","4","0","50","2","12.5","10","3","4","6","0"
"","","XC Bartlett","4","0","42","1","10.5","5","5","1","0","1"
"","","M Jansen","4","0","40","0","10","5","3","2","1","0"
"","","V Vyshak","2","0","33","0","16.5","3","1","4","0","0"
"","","Shashank Singh","3","0","20","2","6.66","7","2","0","1","0"
"","","YS Chahal","3","0","33","0","11","3","1","2","3","0"
"","","HS Dubey","4","0","38","1","9.5","5","3","1","2","0"
"","","JD Unadkat","3","0","40","0","13.33","4","2","4","0","0"
"","","E Malinga","3","0","46","0","15.33","6","4","4","2","0"
"","","HV Patel","2","0","39","0","19.5","2","3","4","0","0"
"","","Shivang Kumar","4","0","33","3","8.25","8","2","2","1","0"
"","","K Nitish Kumar Reddy","2","0","20","0","10","1","1","1","0","0"
"","","Abhishek Sharma","0.5","0","7","0","8.4","1","1","0","0","0"
"","","Auqib Nabi","2","0","17","0","8.5","4","2","0","1","0"
"","","Mukesh Kumar","4","0","37","0","9.25","7","4","1","1","0"
"","","AR Patel","4","0","39","1","9.75","5","5","1","0","0"
"","","T Natarajan","4","0","54","0","13.5","3","5","3","1","0"
"","","L Ngidi","4","0","41","0","10.25","6","4","2","0","0"
"","","Kuldeep Yadav","2","0","24","0","12","1","1","2","0","0"
"","","AJ Hosein","2","0","20","0","10","6","2","1","0","2"
"","","KK Ahmed","3","0","40","1","13.33","3","3","2","1","0"
"","","A Kamboj","4","0","35","3","8.75","11","5","1","0","1"
"","","Gurjapneet Singh","4","0","39","1","9.75","8","2","2","1","0"
"","","J Overton","4","0","18","4","4.5","13","0","1","2","0"
"","","Noor Ahmad","3","0","36","1","12","4","3","2","2","0"
"","","Mohammed Siraj","4","0","19","1","4.75","13","2","0","1","0"
"","","K Rabada","4","0","54","1","13.5","7","7","3","0","0"
"","","Ashok Sharma","4","0","32","2","8","14","3","2","1","0"
"","","M Prasidh Krishna","4","0","28","4","7","13","5","0","0","0"
"","","Rashid Khan","4","0","25","0","6.25","9","0","2","0","0"
"","","Mohammed Shami","4","0","36","1","9","12","6","1","0","0"
"","","Prince Yadav","4","0","31","1","7.75","9","3","1","1","0"
"","","DS Rathi","4","0","31","1","7.75","6","3","0","1","0"
"","","GF Linde","3","0","28","0","9.33","5","5","0","0","0"
"","","Avesh Khan","2","0","24","0","12","3","4","0","1","0"
"","","AK Markram","1.4","0","15","0","9","2","2","0","0","0"
"","","TA Boult","4","0","50","1","12.5","5","3","4","2","0"
"","","HH Pandya","4","0","39","1","9.75","7","2","2","1","1"
"","","JJ Bumrah","4","0","35","0","8.75","7","3","1","1","0"
"","","MJ Santner","4","0","43","1","10.75","9","4","3","1","0"
"","","M Markande","2","0","40","0","20","1","3","4","0","0"
"","","SN Thakur","2","0","32","1","16","3","3","1","6","0"
"","","JA Duffy","4","0","58","1","14.5","10","3","6","4","0"
"","","B Kumar","4","0","38","0","9.5","6","4","1","2","0"
"","","Rasikh Salam","2.5","0","23","1","8.11","8","3","1","0","0"
"","","KH Pandya","4","0","26","1","6.5","7","2","0","1","0"
"","","Suyash Sharma","4","0","47","2","11.75","6","6","2","0","0"
"","","R Shepherd","1.1","0","28","0","24","2","0","4","2","1"
"","","JC Archer","4","0","37","2","9.25","13","5","2","0","0"
"","","N Burger","4","0","31","0","7.75","12","3","2","0","0"
"","","Sandeep Sharma","4","0","52","1","13","6","1","5","4","0"
"","","TU Deshpande","4","0","55","1","13.75","7","6","3","4","0"
"","","R Parag","1","0","5","1","5","1","0","0","0","0"
"","","Ravi Bishnoi","3","0","35","0","11.66","1","0","3","0","0"
"","","PP Hinge","4","0","34","4","8.5","14","2","3","2","0"
"","","Sakib Hussain","4","0","24","4","6","14","3","0","3","0"
"","","E Malinga","4","0","31","2","7.75","7","2","1","1","0"
"","","Shivang Kumar","3","0","28","0","9.33","5","3","1","0","0"
"","","K Nitish Kumar Reddy","2","0","19","0","9.5","3","1","0","1","0"
"","","HS Dubey","2","0","22","0","11","4","2","1","2","0"
"","","VG Arora","4","0","55","1","13.75","7","8","2","4","0"
"","","C Green","2","0","30","0","15","3","3","2","1","0"
"","","AS Roy","3","0","21","1","7","9","1","1","4","0"
"","","SP Narine","4","0","21","1","5.25","11","1","1","0","0"
"","","CV Varun","3","0","26","0","8.66","6","3","1","0","0"
"","","Kartik Tyagi","4","0","35","2","8.75","9","2","2","1","0"
"","","KK Ahmed","3.5","0","24","1","6.26","12","1","2","0","0"
"","","A Kamboj","4","0","32","2","8","9","3","1","2","0"
"","","AJ Hosein","4","0","26","1","6.5","7","1","1","0","0"
"","","Noor Ahmad","4","0","21","3","5.25","8","1","0","0","0"
"","","Gurjapneet Singh","1.1","0","23","0","19.71","1","2","2","1","0"
"","","J Overton","3","0","32","0","10.66","6","2","2","2","0"
"","","B Kumar","4","0","27","3","6.75","8","1","1","1","0"
"","","JR Hazlewood","4","0","20","1","5","13","2","0","1","0"
"","","Rasikh Salam","4","0","24","4","6","13","1","2","0","0"
"","","KH Pandya","4","0","38","2","9.5","10","2","3","2","0"
"","","Suyash Sharma","4","0","34","0","8.5","7","5","0","0","0"
"","","Mohammed Shami","3","0","30","0","10","7","3","2","0","0"
"","","Prince Yadav","3","0","32","3","10.66","8","5","1","1","0"
"","","DS Rathi","4","0","51","0","12.75","4","3","4","0","0"
"","","Avesh Khan","4","0","23","2","5.75","10","1","1","0","0"
"","","GF Linde","1.1","0","9","0","7.71","1","1","0","0","0"
"","","Arshdeep Singh","4","0","22","3","5.5","13","3","0","1","0"
"","","M Jansen","4","0","30","1","7.5","8","1","2","1","0"
"","","XC Bartlett","4","0","39","0","9.75","2","3","1","0","0"
"","","V Vyshak","3","0","36","0","12","5","5","1","1","0"
"","","YS Chahal","3","0","45","0","15","3","1","5","1","0"
"","","Shashank Singh","2","0","19","1","9.5","3","0","2","0","0"
"","","DL Chahar","2.3","0","45","0","18","2","6","2","3","0"
"","","JJ Bumrah","4","0","41","0","10.25","9","6","1","1","1"
"","","AM Ghazanfar","4","0","31","2","7.75","8","3","1","0","0"
"","","HH Pandya","3","0","39","0","13","3","4","2","1","0"
"","","SN Thakur","3","0","42","1","14","2","2","3","4","0"
"","","Mohammed Siraj","4","0","23","2","5.75","14","2","1","0","0"
"","","K Rabada","4","0","29","3","7.25","13","2","2","1","0"
"","","M Prasidh Krishna","4","0","32","1","8","8","2","1","2","0"
"","","Ashok Sharma","4","0","45","2","11.25","11","4","3","2","1"
"","","Rashid Khan","4","0","44","1","11","10","6","2","1","0"
"","","VG Arora","4","0","35","1","8.75","7","3","1","1","0"
"","","Kartik Tyagi","4","0","40","0","10","8","5","1","1","0"
"","","AS Roy","3","0","37","0","12.33","3","2","3","1","0"
"","","SP Narine","4","0","28","1","7","11","3","1","0","0"
"","","CV Varun","4","0","34","2","8.5","5","1","2","0","0"
"","","Ramandeep Singh","0.4","0","5","1","7.5","1","0","0","1","0"
"","","Auqib Nabi","3","0","36","0","12","2","4","1","1","0"
"","","Mukesh Kumar","4","0","32","1","8","10","2","1","4","1"
"","","L Ngidi","4","0","39","2","9.75","6","2","2","1","0"
"","","Kuldeep Yadav","4","0","32","2","8","7","1","2","1","0"
"","","T Natarajan","2","0","16","0","8","5","1","1","1","0"
"","","AR Patel","3","0","18","2","6","7","2","0","0","0"
"","","B Kumar","4","0","26","3","6.5","8","1","1","0","0"
"","","JR Hazlewood","4","0","38","0","9.5","8","4","2","0","0"
"","","Rasikh Salam","4","0","40","0","10","4","4","0","2","1"
"","","KH Pandya","4","0","24","1","6","5","1","0","0","0"
"","","Suyash Sharma","3","0","31","0","10.33","3","4","0","0","0"
"","","R Shepherd","0.5","0","17","0","20.4","1","1","2","0","0"
"","","MW Short","3","0","38","0","12.66","5","3","3","1","0"
"","","Mukesh Choudhary","2","0","21","2","10.5","6","3","1","0","0"
"","","A Kamboj","3","0","22","3","7.33","10","3","1","0","0"
"","","Noor Ahmad","4","0","33","0","8.25","7","3","1","1","0"
"","","J Overton","4","0","37","3","9.25","5","4","0","1","0"
"","","Gurjapneet Singh","4","0","34","1","8.5","12","2","3","1","0"
"","","PP Hinge","4","0","60","1","15","7","7","3","2","2"
"","","K Nitish Kumar Reddy","4","0","31","2","7.75","9","1","1","3","0"
"","","Sakib Hussain","4","0","32","1","8","5","1","0","5","0"
"","","E Malinga","4","0","29","3","7.25","9","3","0","1","0"
"","","Shivang Kumar","3","0","18","1","6","7","2","0","0","0"
"","","Abhishek Sharma","1","0","13","0","13","0","2","0","0","0"
"","","VG Arora","4","0","37","0","9.25","6","5","0","1","0"
"","","Kartik Tyagi","4","0","22","3","5.5","13","3","0","1","0"
"","","C Green","2","0","27","0","13.5","5","2","2","4","0"
"","","SP Narine","4","0","26","2","6.5","13","1","2","0","0"
"","","CV Varun","4","0","14","3","3.5","13","1","0","0","0"
"","","Ramandeep Singh","2","0","26","0","13","0","1","1","4","0"
"","","JC Archer","4","0","35","1","8.75","9","4","1","2","0"
"","","N Burger","2","0","20","1","10","4","2","1","0","0"
"","","Ravi Bishnoi","4","0","41","1","10.25","5","2","2","4","0"
"","","Yash Raj Punja","4","0","25","1","6.25","10","2","1","0","0"
"","","RA Jadeja","3","0","8","2","2.66","10","0","0","0","0"
"","","R Parag","1","0","10","0","10","1","1","0","1","0"
"","","Brijesh Sharma","1.4","0","21","0","12.6","4","3","1","1","0"
"","","Mohammed Shami","4","0","56","1","14","8","5","4","5","0"
"","","Mohsin Khan","4","0","43","1","10.75","9","2","4","0","0"
"","","Prince Yadav","4","0","25","2","6.25","10","2","1","0","0"
"","","A Badoni","1","0","14","0","14","0","1","1","0","0"
"","","Avesh Khan","3","0","46","0","15.33","5","4","4","0","0"
"","","M Siddharth","3","0","35","2","11.66","2","2","2","0","0"
"","","AK Markram","1","0","32","0","32","0","0","5","1","0"
"","","Arshdeep Singh","4","0","41","1","10.25","8","5","1","1","0"
"","","XC Bartlett","4","0","54","0","13.5","6","4","4","2","0"
"","","M Jansen","4","0","37","2","9.25","6","3","2","0","0"
"","","V Vyshak","4","0","30","1","7.5","9","2","1","3","1"
"","","YS Chahal","4","0","36","1","9","5","0","3","0","0"
"","","Mohammed Siraj","4","0","25","1","6.25","11","4","0","0","0"
"","","K Rabada","4","0","33","3","8.25","10","2","2","1","0"
"","","Ashok Sharma","3","0","38","0","12.66","8","4","3","0","0"
"","","Rashid Khan","4","0","31","0","7.75","5","1","1","0","0"
"","","M Prasidh Krishna","4","0","54","1","13.5","4","5","3","1","0"
"","","Washington Sundar","1","0","13","0","13","1","1","1","0","0"
"","","JJ Bumrah","3","0","15","1","5","11","2","0","2","0"
"","","HH Pandya","1","0","18","1","18","2","4","0","2","0"
"","","Krish Bhagat","2","0","10","0","5","6","1","0","0","0"
"","","Ashwani Kumar","4","0","24","4","6","14","4","0","2","0"
"","","AM Ghazanfar","2.5","0","17","2","6","10","1","1","1","0"
"","","MJ Santner","3","0","16","2","5.33","7","1","0","0","0"
"","","Mukesh Kumar","4","0","53","0","13.25","6","7","2","1","0"
"","","N Rana","4","0","55","0","13.75","7","2","6","2","0"
"","","L Ngidi","4","0","41","0","10.25","7","2","3","2","0"
"","","AR Patel","2","0","23","1","11.5","1","0","2","0","0"
"","","Kuldeep Yadav","2","0","30","0","15","2","3","2","0","0"
"","","T Natarajan","4","0","40","0","10","3","3","1","3","0"
"","","D Madushanka","4","0","36","1","9","8","3","1","4","0"
"","","K Nitish Kumar Reddy","4","0","57","0","14.25","5","3","5","1","0"
"","","E Malinga","4","0","32","4","8","10","3","1","2","0"
"","","Sakib Hussain","4","0","29","1","7.25","8","4","0","0","0"
"","","Shivang Kumar","2","0","28","0","14","2","1","3","0","0"
"","","HS Dubey","2","0","12","3","6","5","1","0","0","0"
"","","Mohammed Shami","4","0","30","2","7.5","15","6","0","3","0"
"","","Prince Yadav","4","0","29","2","7.25","13","4","0","0","0"
"","","Mohsin Khan","4","1","17","2","4.25","11","1","0","0","0"
"","","MP Yadav","4","0","56","0","14","6","5","3","1","0"
"","","DS Rathi","4","0","26","0","6.5","5","1","0","0","0"
"","","JC Archer","4","1","20","3","5","17","4","0","1","0"
"","","N Burger","4","0","27","2","6.75","15","1","3","0","0"
"","","Brijesh Sharma","3","0","18","2","6","7","2","0","1","0"
"","","RA Jadeja","4","0","29","1","7.25","9","2","1","1","0"
"","","Ravi Bishnoi","3","0","23","1","7.66","6","1","1","2","0"
"","","JJ Bumrah","4","0","31","1","7.75","10","3","1","0","2"
"","","HH Pandya","2","0","38","0","19","4","5","2","2","1"
"","","AM Ghazanfar","4","0","25","2","6.25","7","1","1","0","0"
"","","MJ Santner","4","0","44","1","11","8","2","4","2","0"
"","","Ashwani Kumar","4","0","37","2","9.25","8","5","1","1","0"
"","","Krish Bhagat","2","0","31","0","15.5","5","3","3","0","0"
"","","AJ Hosein","4","1","17","4","4.25","14","0","1","0","0"
"","","Mukesh Choudhary","4","0","31","1","7.75","11","5","0","3","0"
"","","A Kamboj","3","0","10","1","3.33","12","1","0","1","0"
"","","Noor Ahmad","4","0","24","2","6","10","2","0","1","0"
"","","J Overton","2","0","14","1","7","5","2","0","0","0"
"","","Gurjapneet Singh","2","0","7","1","3.5","6","0","0","0","0"
"","","B Kumar","4","0","31","1","7.75","6","4","0","0","0"
"","","JR Hazlewood","4","0","40","1","10","11","4","2","1","0"
"","","Rasikh Salam","3","0","28","0","9.33","3","4","0","0","0"
"","","KH Pandya","4","0","50","0","12.5","4","1","5","1","0"
"","","R Shepherd","1","0","17","0","17","0","2","1","0","0"
"","","Suyash Sharma","4","0","36","1","9","5","2","2","1","0"
"","","Mohammed Siraj","3","0","25","1","8.33","9","3","1","0","0"
"","","K Rabada","4","0","45","0","11.25","7","4","3","1","0"
"","","JO Holder","3.5","0","35","1","9.13","8","3","2","1","0"
"","","M Prasidh Krishna","2","0","31","0","15.5","1","3","2","0","0"
"","","Rashid Khan","4","0","49","2","12.25","7","2","5","1","0"
"","","MJ Suthar","2","0","19","1","9.5","4","2","1","0","0"
"","","Arshdeep Singh","4","0","49","1","12.25","3","6","2","0","0"
"","","XC Bartlett","4","0","69","1","17.25","1","10","3","1","0"
"","","M Jansen","4","0","45","0","11.25","7","7","1","0","0"
"","","V Vyshak","3","0","48","0","16","4","4","4","1","0"
"","","YS Chahal","4","0","42","0","10.5","3","2","2","2","1"
"","","MP Stoinis","1","0","11","0","11","2","0","1","2","0"
"","","Auqib Nabi","2","0","41","0","20.5","4","0","6","1","1"
"","","Mukesh Kumar","3","0","55","0","18.33","1","7","3","1","0"
"","","AR Patel","4","0","44","1","11","5","3","3","1","0"
"","","T Natarajan","3.5","0","54","0","14.08","5","5","3","6","0"
"","","Kuldeep Yadav","4","0","46","2","11.5","8","2","4","2","0"
"","","V Nigam","2","0","24","1","12","3","3","1","1","0"
"","","PP Hinge","4","0","49","1","12.25","9","2","5","1","0"
"","","PJ Cummins","4","0","27","1","6.75","12","3","1","0","0"
"","","E Malinga","4","0","38","2","9.5","11","4","2","1","0"
"","","Sakib Hussain","4","0","62","1","15.5","6","4","6","2","0"
"","","Shivang Kumar","2","0","31","0","15.5","3","4","2","0","0"
"","","K Nitish Kumar Reddy","2","0","20","1","10","4","3","0","2","0"
"","","JC Archer","4","0","34","2","8.5","13","4","2","1","0"
"","","N Burger","3.3","0","50","0","14.28","9","5","3","3","0"
"","","TU Deshpande","3","0","43","0","14.33","5","6","2","1","0"
"","","Brijesh Sharma","4","0","44","2","11","8","6","1","3","0"
"","","R Parag","1","0","12","0","12","0","2","0","0","0"
"","","D Ferreira","1","0","14","1","14","1","1","1","0","0"
"","","Ravi Bishnoi","1","0","16","0","16","1","2","1","0","0"
"","","RA Jadeja","1","0","11","0","11","2","1","0","1","0"
